Index,Sector,Digest,Title,year,value
1,AG,AG001,Certain miscellaneous animals and meats,2015,2619027947
1,AG,AG001,Certain miscellaneous animals and meats,2016,2645355521
1,AG,AG001,Certain miscellaneous animals and meats,2017,2907304458
1,AG,AG001,Certain miscellaneous animals and meats,2018,2986132107
1,AG,AG001,Certain miscellaneous animals and meats,2019,3059627104
2,AG,AG002,Cattle and beef,2015,8767976938
2,AG,AG002,Cattle and beef,2016,6766872757
2,AG,AG002,Cattle and beef,2017,6730486959
2,AG,AG002,Cattle and beef,2018,7077806486
2,AG,AG002,Cattle and beef,2019,7690176806
3,AG,AG003,Swine and pork,2015,1692294738
3,AG,AG003,Swine and pork,2016,1643168002
3,AG,AG003,Swine and pork,2017,1777176244
3,AG,AG003,Swine and pork,2018,1588859624
3,AG,AG003,Swine and pork,2019,1423691274
4,AG,AG004,Sheep and meat of sheep,2015,672717003
4,AG,AG004,Sheep and meat of sheep,2016,655591198
4,AG,AG004,Sheep and meat of sheep,2017,806982002
4,AG,AG004,Sheep and meat of sheep,2018,910206415
4,AG,AG004,Sheep and meat of sheep,2019,987162051
5,AG,AG005,Poultry,2015,549526748
5,AG,AG005,Poultry,2016,567139898
5,AG,AG005,Poultry,2017,510773926
5,AG,AG005,Poultry,2018,563619321
5,AG,AG005,Poultry,2019,548745398
6,AG,AG006,Fresh or frozen fish,2015,7095996763
6,AG,AG006,Fresh or frozen fish,2016,7599426871
6,AG,AG006,Fresh or frozen fish,2017,8221772628
6,AG,AG006,Fresh or frozen fish,2018,8957989410
6,AG,AG006,Fresh or frozen fish,2019,8694557160
7,AG,AG007,Canned fish,2015,1286445564
7,AG,AG007,Canned fish,2016,1220514552
7,AG,AG007,Canned fish,2017,1413177447
7,AG,AG007,Canned fish,2018,1602707137
7,AG,AG007,Canned fish,2019,1615054847
8,AG,AG008,Cured and other fish,2015,577728548
8,AG,AG008,Cured and other fish,2016,594904458
8,AG,AG008,Cured and other fish,2017,609715566
8,AG,AG008,Cured and other fish,2018,597808709
8,AG,AG008,Cured and other fish,2019,634469439
9,AG,AG009,Shellfish,2015,9656062416
9,AG,AG009,Shellfish,2016,9960218079
9,AG,AG009,Shellfish,2017,11218825832
9,AG,AG009,Shellfish,2018,11258997668
9,AG,AG009,Shellfish,2019,11017137595
10,AG,AG010,Dairy products,2015,2801822142
10,AG,AG010,Dairy products,2016,2657417069
10,AG,AG010,Dairy products,2017,2595616884
10,AG,AG010,Dairy products,2018,2646545510
10,AG,AG010,Dairy products,2019,2834371932
11,AG,AG011,Eggs,2015,186276721
11,AG,AG011,Eggs,2016,115770514
11,AG,AG011,Eggs,2017,74952913
11,AG,AG011,Eggs,2018,71997037
11,AG,AG011,Eggs,2019,75205777
12,AG,AG012,Sugar and other sweeteners,2015,2971298158
12,AG,AG012,Sugar and other sweeteners,2016,2848342882
12,AG,AG012,Sugar and other sweeteners,2017,2848180317
12,AG,AG012,Sugar and other sweeteners,2018,2763558073
